_id,time,high,low,open,volumefrom,volumeto,close,symbol,read_date,price_f_change
ObjectId("5bcb3f0972039d7e219d2e4e"),1539993600,0.001234,0.001168,0.001234,12638677.21,14774.61,0.001168,ADC,20-10-2018,-0.049633848657445134
ObjectId("5bcb3f0972039d7e219d2e5a"),1539993600,0.05392,0.05384,0.05392,0,0,0.05384,SNRG,20-10-2018,0.002607076350093133
ObjectId("5bcb3f0972039d7e219d2e66"),1539993600,0.1764,0.1761,0.1764,0,0,0.1761,UNIC,20-10-2018,0.0028473804100227814
ObjectId("5bcb3f1872039d7e219d3382"),1539993600,0.00707,0.006692,0.006692,0,0,0.00707,GB,20-10-2018,0.06108359597778782
ObjectId("5bcb3f1872039d7e219d338e"),1539993600,0.03989,0.03878,0.03878,1131.78,44.04,0.03885,BRK,20-10-2018,0.005955463490419499
ObjectId("5bcb3f1872039d7e219d339a"),1539993600,0.003053,0.003049,0.003053,625,1.91,0.003049,DBTC,20-10-2018,-0.038170347003154574
ObjectId("5bcb3f1872039d7e219d33a6"),1539993600,0.1092,0.1024,0.1024,372.35,40.51,0.1087,CMT,20-10-2018,0.07623762376237622
ObjectId("5bcb3f1872039d7e219d33b2"),1539993600,0.03538,0.03535,0.03538,310,10.97,0.03535,RISE,20-10-2018,0.013184293493837837
ObjectId("5bcb3f3d72039d7e219d38ce"),1539993600,0.03373,0.03191,0.03373,32265.35,1063.14,0.03191,TRAC,20-10-2018,-0.040877667568379926
ObjectId("5bcb3f3d72039d7e219d38da"),1539993600,0.03469,0.03372,0.03424,27798403.33,962658.71,0.03451,ZIL,20-10-2018,0.012320328542094361
ObjectId("5bcb3f3d72039d7e219d38e6"),1539993600,0.003394,0.003353,0.003373,8325369.62,27914.96,0.00337,SLT,20-10-2018,0.012924556657649555
ObjectId("5bcb3f3d72039d7e219d38f2"),1539993600,0.01771,0.01605,0.0175,133944,2228.83,0.01658,FOTA,20-10-2018,-0.03939745075318656
ObjectId("5bcb3f3d72039d7e219d38fe"),1539993600,0.01403,0.01371,0.01384,4773942.18,66978.41,0.01401,SOC,20-10-2018,0.012283236994219654
ObjectId("5bcb3f4b72039d7e219d3e1a"),1539993600,0.001364,0.001297,0.001364,22115.78,28.73,0.001297,XBP,20-10-2018,-0.045621780721118464
ObjectId("5bcb3f4b72039d7e219d3e26"),1539993600,0.002468,0.002466,0.002468,0,0,0.002466,LNC,20-10-2018,0.013147082990961343
ObjectId("5bcb3f4b72039d7e219d3e32"),1539993600,0.001203,0.001202,0.001203,0,0,0.001202,IPSX,20-10-2018,0.012636899747262039
ObjectId("5bcb3f4c72039d7e219d3e3e"),1539993600,0.1877,0.1877,0.1877,0,0,0.1877,SEN,20-10-2018,0
ObjectId("5bcb3f4c72039d7e219d3e4a"),1539993600,0.01051,0.009328,0.01051,523327.73,5217.05,0.009426,SENC,20-10-2018,-0.09015444015444007
ObjectId("5bcb3f5472039d7e219d413e"),1539993600,0.0001299,0.0001297,0.0001299,0,0,0.0001297,INV,20-10-2018,0.0023183925811437966
ObjectId("5bcb3f5472039d7e219d414a"),1539993600,0.1033,0.09111,0.1033,35406.04,3229.03,0.09111,EXC,20-10-2018,-0.10500982318271125
ObjectId("5bcb3eec72039d7e219d23e6"),1539993600,0.003045,0.003045,0.003045,0,0,0.003045,SXC,20-10-2018,0
ObjectId("5bcb3eec72039d7e219d23f2"),1539993600,0.05282,0.05262,0.05262,1193.29,62.95,0.05267,TAG,20-10-2018,0.00515267175572518
ObjectId("5bcb3eed72039d7e219d23fe"),1539993600,0.01949,0.01946,0.01949,0,0,0.01946,I0C,20-10-2018,0.002575991756826452
ObjectId("5bcb3eed72039d7e219d240a"),1539993600,0.03359,0.02865,0.02865,355627.8,11458.33,0.03282,FLO,20-10-2018,0.1503680336487908
ObjectId("5bcb3eed72039d7e219d2416"),1539993600,0.06146,0.05996,0.06094,4200871.11,257891.48,0.06129,NXT,20-10-2018,0.01005273566249175
ObjectId("5bcb3eed72039d7e219d2422"),1539993600,72.7,72.63,72.63,4.47,324.66,72.64,UNO,20-10-2018,0.004285911793170224
ObjectId("5bcb3eed72039d7e219d242e"),1539993600,0.005067,0.004743,0.004807,4332.31,21.95,0.005059,XJO,20-10-2018,0.05682055567161073
ObjectId("5bcb3eed72039d7e219d243a"),1539993600,0.05565,0.006497,0.006497,0,0,0.05565,DTC,20-10-2018,7.602566084402534
ObjectId("5bcb3eed72039d7e219d2446"),1539993600,0.04833,0.0483,0.04833,300,14.5,0.0483,BET,20-10-2018,0.9843878389482335
ObjectId("5bcb3eed72039d7e219d2452"),1539993600,0.0001299,0.00006497,0.00006497,2292611.68,297.81,0.0001297,GDC,20-10-2018,1.0049466687277786
ObjectId("5bcb3eee72039d7e219d245e"),1539993600,0.006692,0.005197,0.005912,240668.97,1282.04,0.005643,DEM,20-10-2018,-0.051915322580645205
ObjectId("5bcb3eee72039d7e219d246a"),1539993600,0.004624,0.004166,0.004556,8142132.83,36320.05,0.004465,DOGE,20-10-2018,-0.022762092361567066
ObjectId("5bcb3eee72039d7e219d2476"),1539993600,0.0002599,0.0002594,0.0002599,0,0,0.0002594,NET,20-10-2018,0.0023183925811437966
ObjectId("5bcb3eee72039d7e219d2482"),1539993600,0.01624,0.01622,0.01624,0,0,0.01622,PHS,20-10-2018,0.0030921459492886804
ObjectId("5bcb3eee72039d7e219d248e"),1539993600,1.95,1.86,1.93,220.52,430.01,1.88,DMD,20-10-2018,-0.02590673575129536
ObjectId("5bcb3eee72039d7e219d249a"),1539993600,0.003638,0.003632,0.003638,0,0,0.003632,HBN,20-10-2018,0.0024841291747170558
ObjectId("5bcb3eef72039d7e219d24a6"),1539993600,0.002469,0.002465,0.002469,0,0,0.002465,TGC,20-10-2018,0.0028478437754272017
ObjectId("5bcb3efb72039d7e219d2932"),1539993600,0.0002599,0.0002594,0.0002599,0,0,0.0002594,DON,20-10-2018,0.0023183925811437966
ObjectId("5bcb3efc72039d7e219d293e"),1539993600,0.0005838,0.0005197,0.0005197,0,0,0.0005838,PIGGY,20-10-2018,0.1281159420289856
ObjectId("5bcb3efc72039d7e219d294a"),1539993600,0.004002,0.004002,0.004002,0,0,0.004002,START,20-10-2018,0
ObjectId("5bcb3efc72039d7e219d2956"),1539993600,0.445,0.4349,0.4349,43799.83,19236.89,0.4442,KORE,20-10-2018,0.025629184945740013
ObjectId("5bcb3efc72039d7e219d2962"),1539993600,0.002859,0.002789,0.002794,162446117.87,453874.45,0.002789,XDN,20-10-2018,0.0025161754133715413
ObjectId("5bcb3efc72039d7e219d296e"),1539993600,1.07,1.01,1.07,678.06,684.84,1.01,BBR,20-10-2018,-0.056074766355140235
ObjectId("5bcb3efc72039d7e219d297a"),1539993600,0.0003248,0.0002599,0.0002599,200000,64.96,0.0003243,SHA,20-10-2018,0.25309119010819175
ObjectId("5bcb3efc72039d7e219d2986"),1539993600,0.1341,0.1292,0.1295,1377607.97,183772.9,0.1341,BLZ,20-10-2018,0.040341349883630806
ObjectId("5bcb3efc72039d7e219d2992"),1539993600,0.02495,0.02432,0.02495,60919.17,1496.17,0.02432,THC,20-10-2018,-0.02093397745571657
ObjectId("5bcb3efc72039d7e219d299e"),1539993600,0.03,0.03,0.03,0,0,0.03,BRIT,20-10-2018,0
ObjectId("5bcb3efd72039d7e219d29aa"),1539993600,0.1092,0.1037,0.1064,3835.01,399.22,0.1053,XST,20-10-2018,-0.006603773584905588
ObjectId("5bcb3efd72039d7e219d29b6"),1539993600,0.007666,0.006951,0.007016,50417.9,360.29,0.007005,TRUST,20-10-2018,0.0025762129669385696
ObjectId("5bcb3efd72039d7e219d29c2"),1539993600,1.63,1.35,1.58,3577.18,5830.8,1.61,CLAM,20-10-2018,0.018987341772151913
ObjectId("5bcb3efd72039d7e219d29ce"),1539993600,0.01046,0.01025,0.01026,625.14,6.54,0.01025,QTL,20-10-2018,0.002935420743639972
ObjectId("5bcb3efd72039d7e219d29da"),1539993600,0.101,0.0981,0.09855,5222795.46,520817.16,0.09956,BTS,20-10-2018,0.013849287169042771
ObjectId("5bcb3efd72039d7e219d29e6"),1539993600,0.002014,0.001234,0.001234,684.77,1.38,0.002011,TRK,20-10-2018,0.6362896663954435
ObjectId("5bcb3f0972039d7e219d2e72"),1539993600,0.0001401,0.0001401,0.0001401,0,0,0.0001401,FJC,20-10-2018,0
ObjectId("5bcb3f0a72039d7e219d2e7e"),1539993600,0.114,0.1138,0.114,0,0,0.1138,ERC,20-10-2018,0.0026431718061673544
ObjectId("5bcb3f0a72039d7e219d2e8a"),1539993600,0.00000498,0.00000498,0.00000498,100000,0.498,0.00000498,FUNK,20-10-2018,0.9302325581395349
ObjectId("5bcb3f0a72039d7e219d2e96"),1539993600,0.8446,0.7874,0.8322,10696.62,9034.37,0.8277,HXX,20-10-2018,-0.015814506539833507
ObjectId("5bcb3f0a72039d7e219d2ea2"),1539993600,0.001494,0.001299,0.001299,3396843.8,5074.88,0.001492,XRA,20-10-2018,0.1530139103554869
ObjectId("5bcb3f0a72039d7e219d2eae"),1539993600,0.0001946,0.0001299,0.0001299,3333.63,0.433,0.0001946,CREVA,20-10-2018,0.5038639876352394
ObjectId("5bcb3f0a72039d7e219d2eba"),1539993600,0.004483,0.003957,0.004483,166023.34,744.28,0.003957,IRL,20-10-2018,-0.11357526881720441
ObjectId("5bcb3f0a72039d7e219d2ec6"),1539993600,0.004743,0.004151,0.004743,3579.98,16.28,0.004151,ZNY,20-10-2018,-0.1211094643235231
ObjectId("5bcb3f0a72039d7e219d2ed2"),1539993600,0.0029,0.0008,0.0029,24445.04,30.89,0.001058,BSC,20-10-2018,-0.6351724137931034
ObjectId("5bcb3f0b72039d7e219d2ede"),1539993600,0.0052,0.0052,0.0052,0,0,0.0052,ACP,20-10-2018,0
ObjectId("5bcb3f0b72039d7e219d2eea"),1539993600,0.001622,0.001494,0.001494,32256.61,48.19,0.001622,CPN,20-10-2018,0.09005376344086022
ObjectId("5bcb3f0b72039d7e219d2ef6"),1539993600,0.001989,0.001989,0.001989,0,0,0.001989,CHC,20-10-2018,0
ObjectId("5bcb3f0b72039d7e219d2f02"),1539993600,0.00006497,0.00006486,0.00006497,0,0,0.00006486,SPRTS,20-10-2018,0.0026279177616322967
ObjectId("5bcb3f0b72039d7e219d2f0e"),1539993600,0.005132,0.003898,0.004483,40834.09,183.06,0.004476,HNC,20-10-2018,0.002688172043010721
ObjectId("5bcb3f0b72039d7e219d2f1a"),1539993600,0.9544,0.8887,0.9238,276128.03,247189.81,0.9275,CPC,20-10-2018,0.008261767583432916
ObjectId("5bcb3f0b72039d7e219d2f26"),1539993600,0.003313,0.003178,0.003313,2200,7,0.003178,FLAX,20-10-2018,-0.036677781145801766
ObjectId("5bcb3f0b72039d7e219d2f32"),1539993600,0.007276,0.0072,0.007276,5468.99,39.44,0.0072,AXIOM,20-10-2018,-0.006348330113165889
ObjectId("5bcb3f1872039d7e219d33be"),1539993600,0.002919,0.002534,0.002534,0,0,0.002919,CHESS,20-10-2018,0.1569560047562426
ObjectId("5bcb3f1872039d7e219d33ca"),1539993600,0.04527,0.04106,0.04125,1645193.94,69048.79,0.04527,LBC,20-10-2018,0.10199610516066211
ObjectId("5bcb3f1872039d7e219d33d6"),1539993600,0.00026,0.00026,0.00026,91545.21,23.8,0.00026,PUT,20-10-2018,-0.16129032258064524
ObjectId("5bcb3f1972039d7e219d33e2"),1539993600,0.2719,0.2151,0.2523,15952.44,3841.35,0.2458,BRX,20-10-2018,-0.02188619180262647
ObjectId("5bcb3f1972039d7e219d33ee"),1539993600,0.06042,0.0547,0.0547,3012351.01,174746.48,0.05864,SYNX,20-10-2018,0.0739926739926739
ObjectId("5bcb3f1972039d7e219d33fa"),1539993600,0.00023,0.00023,0.00023,0,0,0.00023,CJ,20-10-2018,0
ObjectId("5bcb3f1972039d7e219d3406"),1539993600,0.02566,0.02543,0.0256,1175.87,29.95,0.02543,HEAT,20-10-2018,-0.002353864260494216
ObjectId("5bcb3f1972039d7e219d3412"),1539993600,0.1151,0.1136,0.114,2392154.06,273901.64,0.1145,ARDR,20-10-2018,0.008810572687224677
ObjectId("5bcb3f1972039d7e219d341e"),1539993600,9.72,9.52,9.6,56715.77,548184.78,9.67,ETC,20-10-2018,0.007291666666666696
ObjectId("5bcb3f1972039d7e219d342a"),1539993600,0.00006497,0.00006486,0.00006497,0,0,0.00006486,808,20-10-2018,0.0026279177616322967
ObjectId("5bcb3f1972039d7e219d3436"),1539993600,0.001386,0.001343,0.001382,330000,443.19,0.001346,BIT,20-10-2018,-0.012472487160675045
ObjectId("5bcb3f1972039d7e219d3442"),1539993600,0.008446,0.008432,0.008446,1490.65,12.59,0.008432,ELE,20-10-2018,0.0026159334126039774
ObjectId("5bcb3f1a72039d7e219d344e"),1539993600,0.1205,0.1118,0.1205,379.51,43.26,0.1138,KRB,20-10-2018,-0.051666666666666645
ObjectId("5bcb3f3072039d7e219d345a"),1539993600,0.002469,0.002339,0.002339,139814460.13,345201.9,0.002465,SWFTC,20-10-2018,0.05839416058394172
ObjectId("5bcb3f3072039d7e219d3466"),1539993600,0.9647,0.7588,0.8783,37445.51,31794.98,0.8412,COV,20-10-2018,-0.03818888634804493
ObjectId("5bcb3f3072039d7e219d3472"),1539993600,0.05243,0.04743,0.052,365000.68,17311.98,0.05076,CAN,20-10-2018,-0.010140405616224642
ObjectId("5bcb3f3072039d7e219d347e"),1539993600,0.106,0.1026,0.1036,1554291.14,162423.42,0.1045,APPC,20-10-2018,0.013579049466537327
ObjectId("5bcb3f3072039d7e219d348a"),1539993600,0.712,0.7016,0.7036,529495.24,374247.24,0.705,HPB,20-10-2018,0.00714285714285715
ObjectId("5bcb3f3e72039d7e219d3916"),1539993600,0.005392,0.004093,0.005392,4268.53,19.97,0.00467,GRLC,20-10-2018,-0.13035381750465552
ObjectId("5bcb3f3e72039d7e219d3922"),1539993600,0.02369,0.02265,0.02267,1054216.21,24067.76,0.02306,RUFF,20-10-2018,0.03269144648455
ObjectId("5bcb3f3e72039d7e219d392e"),1539993600,0.01852,0.01319,0.01351,14658667.13,228528.62,0.01576,NKC,20-10-2018,0.18853695324283565
ObjectId("5bcb3f3e72039d7e219d393a"),1539993600,0.01354,0.01255,0.01354,134065.35,1691.9,0.01321,COFI,20-10-2018,-0.010486891385767883
ObjectId("5bcb3f3e72039d7e219d3946"),1539993600,0.0008248,0.0007631,0.0008248,6271269.26,4785.61,0.0008137,EQL,20-10-2018,0.00024585125998771343
ObjectId("5bcb3f3e72039d7e219d3952"),1539993600,0.03248,0.018,0.03248,62536.04,1125.65,0.01972,HLC,20-10-2018,-0.3904173106646058
ObjectId("5bcb3f3e72039d7e219d395e"),1539993600,0.02427,0.02182,0.02378,3528763.91,77138.78,0.02242,ZPT,20-10-2018,-0.0439232409381663
ObjectId("5bcb3f3f72039d7e219d396a"),1539993600,0.0007796,0.0007135,0.0007796,186099.18,132.99,0.0007135,OC,20-10-2018,-0.08089656060801224
ObjectId("5bcb3f3f72039d7e219d3976"),1539993600,0.01481,0.01449,0.01468,2682710.64,39221.23,0.01479,HMC,20-10-2018,0.011627906976744188
ObjectId("5bcb3f3f72039d7e219d3982"),1539993600,8.45,8.43,8.45,2,16.9,8.43,SMS,20-10-2018,0.002378121284185443
ObjectId("5bcb3f3f72039d7e219d398e"),1539993600,0.00000791,0.00000791,0.00000791,0,0,0.00000791,EPC,20-10-2018,0
ObjectId("5bcb3f3f72039d7e219d399a"),1539993600,0.01234,0.01152,0.01234,3036413.74,36862.06,0.01212,VLC,20-10-2018,-0.0041084634346754065
ObjectId("5bcb3f3f72039d7e219d39a6"),1539993600,0.017,0.013,0.014,4942.51,71.42,0.014,BTW,20-10-2018,0
ObjectId("5bcb3f3f72039d7e219d39b2"),1539993600,0.02158,0.01931,0.02139,705251.71,13851.14,0.01993,CXO,20-10-2018,-0.05545023696682468
ObjectId("5bcb3f3f72039d7e219d39be"),1539993600,9.44,9.13,9.34,13579.38,124522.91,9.2,ELA,20-10-2018,-0.011815252416756305
ObjectId("5bcb3f4072039d7e219d39ca"),1539993600,0.01221,0.01046,0.01208,5425908.39,64134.24,0.01206,STK,20-10-2018,0.0024937655860348107
ObjectId("5bcb3f4072039d7e219d39d6"),1539993600,0.005985,0.005548,0.00578,30695.24,170.45,0.005548,PARETO,20-10-2018,-0.026666666666666707
ObjectId("5bcb3f4c72039d7e219d3e62"),1539993600,0.004114,0.003699,0.003702,144292.49,534.17,0.003699,FDZ,20-10-2018,0.013147082990961343
ObjectId("5bcb3f4c72039d7e219d3e6e"),1539993600,1.07,1.07,1.07,0,0,1.07,TPAY,20-10-2018,0
ObjectId("5bcb3f4c72039d7e219d3e7a"),1539993600,0.006582,0.00617,0.006499,56800,358.64,0.00637,BERRY,20-10-2018,-0.006240249609984416
ObjectId("5bcb3f4c72039d7e219d3e86"),1539993600,0.003785,0.003671,0.003671,229000,853.94,0.003726,NCT,20-10-2018,0.028997514498757263
ObjectId("5bcb3f4c72039d7e219d3e92"),1539993600,0.1374,0.136,0.136,1093.04,150.18,0.1373,ODE,20-10-2018,0.02386278896346017
ObjectId("5bcb3f4d72039d7e219d3e9e"),1539993600,1.39,1.27,1.33,111.62,142.87,1.27,XMO,20-10-2018,-0.03787878787878791
ObjectId("5bcb3f4d72039d7e219d3eaa"),1539993600,0.196,0.1753,0.1842,578892.63,107153.03,0.1837,XSN,20-10-2018,-0.01974386339381008
ObjectId("5bcb3f4d72039d7e219d3eb6"),1539993600,0.001479,0.001347,0.001347,66299.19,89.97,0.001356,XDCE,20-10-2018,0.020316027088036037
ObjectId("5bcb3f4d72039d7e219d3ec2"),1539993600,0.007839,0.007737,0.007775,1290000,10044.08,0.007777,TDS,20-10-2018,-0.003970286885245873
ObjectId("5bcb3f4d72039d7e219d3ece"),1539993600,0.3074,0.2966,0.2985,1127215.14,336924.61,0.2984,CTXC,20-10-2018,0.004375631100639594
ObjectId("5bcb3f4d72039d7e219d3eda"),1539993600,0.001624,0.001557,0.001559,28040000,43714.36,0.001557,SENT,20-10-2018,0.002575660012878363
ObjectId("5bcb3f4d72039d7e219d3ee6"),1539993600,0.02242,0.02013,0.02172,127481.91,2805.88,0.02164,EOSDAC,20-10-2018,0.010270774976657234
ObjectId("5bcb3f4d72039d7e219d3ef2"),1539993600,0.01327,0.0124,0.01323,1798922.44,22936.26,0.01266,ADH,20-10-2018,-0.02914110429447854
ObjectId("5bcb3f4e72039d7e219d3efe"),1539993600,0.000288,0.0002877,0.000288,0,0,0.0002877,SNIP,20-10-2018,0.013028169014084441
ObjectId("5bcb3f4e72039d7e219d3f0a"),1539993600,0.2743,0.2367,0.2742,31407.36,7550.33,0.2519,DEV,20-10-2018,-0.0772893772893773
ObjectId("5bcb3f5572039d7e219d4186"),1539993600,1.9e-7,2e-8,2e-8,12890717.35,2.45,1.8e-7,GBC,20-10-2018,8
ObjectId("5b87ab4272039d3c1b3e7704"),1535587200,4974.97,4818.64,4974.97,4.95,23932.41,4818.64,RMC,30-08-2018,-0.013762106314522621
ObjectId("5b9abe5772039d5183327c17"),1536624000,0.009317,0.009254,0.009317,3092.19,28.62,0.009254,TES,11-09-2018,-0.011324786324786345
ObjectId("5b9abe5772039d5183327c1b"),1536796800,0.01103,0.009611,0.01064,24344.99,234,0.009611,TES,13-09-2018,-0.08640684410646389
ObjectId("5b9abe5772039d5183327c1f"),1536451200,0.0005624,0.0004999,0.0004999,146761.96,73.37,0.0004999,NOBL,09-09-2018,0.007862903225806314
ObjectId("5b9abe5772039d5183327c23"),1536624000,0.0005036,0.0004407,0.0005036,482351.17,212.57,0.0004407,NOBL,11-09-2018,-0.1290513833992096
ObjectId("5b9abe5772039d5183327c27"),1536796800,0.0005161,0.0004515,0.0004516,242961.75,109.72,0.0004515,NOBL,13-09-2018,0.01780883678990088
ObjectId("5b9abe5772039d5183327c2b"),1536451200,0.00325,0.003062,0.00325,479066334.33,1526784.41,0.003187,RDD,09-09-2018,-0.011476426799007353
ObjectId("5b9abe5772039d5183327c2f"),1536624000,0.003966,0.0034,0.003463,1480038522.67,5403620.65,0.003651,RDD,11-09-2018,0.04974123059229441
ObjectId("5b9abe5772039d5183327c33"),1536796800,0.003742,0.003419,0.003548,547584184.29,1907783.3,0.003483,RDD,13-09-2018,-0.0005738880918220464
ObjectId("5b9abe5772039d5183327c37"),1536451200,0.0006249,0.0005624,0.0005624,41573.08,25.98,0.0006249,NYAN,09-09-2018,0.11989247311827947
ObjectId("5b9abe5772039d5183327c3b"),1536624000,0.0005666,0.0005666,0.0005666,0,0,0.0005666,NYAN,11-09-2018,-0.004567814476458108
ObjectId("5b9abe5772039d5183327c3f"),1536796800,0.0006451,0.0005161,0.0006451,134832.19,78.28,0.0005805,NYAN,13-09-2018,-0.08395139655988637
ObjectId("5b9abe5772039d5183327c43"),1536451200,0.004312,0.004312,0.004312,2603.91,11.23,0.004312,UTC,09-09-2018,0.007947639083684007
ObjectId("5b9abe5772039d5183327c47"),1536624000,0.005351,0.004722,0.004848,60239.55,284.45,0.004722,UTC,11-09-2018,-0.030390143737166437
ObjectId("5b9abe5772039d5183327c4b"),1536796800,0.008258,0.006129,0.008258,51782.11,324.05,0.006257,UTC,13-09-2018,-0.22253976143141144
ObjectId("5b9abe5872039d5183327c53"),1536624000,0.0357,0.03311,0.03538,416949.58,14359.74,0.03444,POT,11-09-2018,-0.03095104108047281
ObjectId("5b9abe5872039d5183327c57"),1536796800,0.03639,0.03374,0.03413,388699.27,13565.6,0.03515,POT,13-09-2018,0.04862768496420046
ObjectId("5b9abe5872039d5183327c5b"),1536451200,0.008311,0.006312,0.007686,118379.88,909.87,0.007686,BLC,09-09-2018,-0.00825806451612901
ObjectId("5b9abe5872039d5183327c5f"),1536624000,0.008436,0.007303,0.007303,115047.53,934.3,0.008121,BLC,11-09-2018,0.10700654307524539
ObjectId("5b9abe5872039d5183327c63"),1536796800,0.008516,0.008321,0.008322,3974.3,33.07,0.008321,BLC,13-09-2018,0.01785932721712542
ObjectId("5b9abe5872039d5183327c67"),1536451200,0.01999,0.01373,0.01999,39.3,0.5396,0.01373,MAX,09-09-2018,-0.3233119763430261
ObjectId("5b9abe5872039d5183327c6b"),1536624000,0.02446,0.01413,0.02057,7370.76,104.15,0.01413,MAX,11-09-2018,-0.3547945205479452
